DEBUG - Starting new HTTPS connection (1): www.programiz.com:443
DEBUG - https://www.programiz.com:443 "GET /dsa/dijkstra-algorithm HTTP/1.1" 200 None
DEBUG - request status code: 200
DEBUG - Removing unlikely candidate - main.soft-bg.has-notice-bar-top>.sub-menu--backdrop
DEBUG - Removing unlikely candidate - main.soft-bg.has-notice-bar-top>.sub-menu.sub-menu--sp.sub-menu--sp--tutorial-examples.sub-menu__mobile-head-wrap
DEBUG - Removing unlikely candidate - .sub-menu.sub-menu--sp.sub-menu--sp--tutorial-examples.sub-menu__mobile-head-wrap>.sub-menu__wrap
DEBUG - Removing unlikely candidate - .sub-menu__wrap>.sub-menu__head
DEBUG - Removing unlikely candidate - .sub-menu__head>.sub-menu__tab
DEBUG - Removing unlikely candidate - .sub-menu__tab>.sub-menu__tab__head
DEBUG - Removing unlikely candidate - .sub-menu__tab__head>button.sub-menu__tab__node.sub-menu__tab__node--index.d-none
DEBUG - Removing unlikely candidate - .sub-menu__tab__head>button.sub-menu__tab__node.sub-menu__tab__node--explore
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node.sub-menu__tab__list-node--active
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__tab__body.sub-menu__tab__body--explore>a.sub-menu__tab__list-node
DEBUG - Removing unlikely candidate - .sub-menu__head>button.btn.btn--skeleton.menu-hide-trigger
DEBUG - Removing unlikely candidate - .tabbed-content__right.tabbed-content__right--explore>.sub-menu__cta.sub-menu__mobile-banner
DEBUG - Removing unlikely candidate - .sub-menu__cta.sub-menu__mobile-banner>.d-flex.sub-menu--mobile-banner
DEBUG - Removing unlikely candidate - .tabbed-content__right.tabbed-content__right--explore>#m-python.sub-menu__contents.sub-menu--mobile.sub-menu__contents--python
DEBUG - Removing unlikely candidate - #m-python.sub-menu__contents.sub-menu--mobile.sub-menu__contents--python>.sub-menu__links
DEBUG - Removing unlikely candidate - .sub-menu__links__column.sub-menu__links__column--left>.sub-menu__link
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__links__column.sub-menu__links__column--left>.sub-menu__link
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__links__column.sub-menu__links__column--right>.sub-menu__link
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
DEBUG - Removing unlikely candidate - .sub-menu__link>.sub-menu__link__row
